Algorithm,Symmetric,Cached,Search Time,Recall
brute,Asymmetric,Not Cached,0.10910296440124512,1.0
VQ,Asymmetric,Not Cached,0.058600664138793945,1.0
VQ,Symmetric,Cached,0.019933700561523438,0.076
PQ,Asymmetric,Not Cached,0.3092515468597412,0.026
PQ,Asymmetric,Cached,0.16347384452819824,0.026
PQ,Symmetric,Cached,0.15146732330322266,0.032
brute,Asymmetric,Not Cached,0.1203458309173584,1.0
VQ,Asymmetric,Not Cached,0.05465984344482422,1.0
VQ,Symmetric,Cached,0.01484227180480957,0.076
PQ,Asymmetric,Not Cached,0.34331464767456055,0.04
PQ,Asymmetric,Cached,0.1777491569519043,0.04
PQ,Symmetric,Cached,0.2095944881439209,0.032
brute,Asymmetric,Not Cached,0.10082721710205078,1.0
VQ,Asymmetric,Not Cached,0.03335905075073242,0.97
VQ,Symmetric,Cached,0.014487504959106445,0.088
PQ,Asymmetric,Not Cached,0.31625843048095703,0.026
PQ,Asymmetric,Cached,0.1417086124420166,0.026
PQ,Symmetric,Cached,0.15278291702270508,0.022
brute,Asymmetric,Not Cached,0.12343239784240723,1.0
VQ,Asymmetric,Not Cached,0.09975194931030273,1.0
VQ,Symmetric,Cached,0.011994361877441406,0.0
PQ,Asymmetric,Not Cached,0.33806657791137695,0.03
PQ,Asymmetric,Cached,0.2185821533203125,0.03
PQ,Symmetric,Cached,0.205336332321167,0.034
brute,Asymmetric,Not Cached,0.10104870796203613,1.0
VQ,Asymmetric,Not Cached,0.031054019927978516,0.822
VQ,Symmetric,Cached,0.027009010314941406,0.072
PQ,Asymmetric,Not Cached,0.675961971282959,0.144
PQ,Asymmetric,Cached,0.4762105941772461,0.144
PQ,Symmetric,Cached,0.4855782985687256,0.058
brute,Asymmetric,Not Cached,0.1188209056854248,1.0
VQ,Asymmetric,Not Cached,0.010989665985107422,0.388
VQ,Symmetric,Cached,0.0216827392578125,0.056
PQ,Asymmetric,Not Cached,0.546210527420044,0.062
PQ,Asymmetric,Cached,0.24147462844848633,0.062
PQ,Symmetric,Cached,0.3048107624053955,0.044
brute,Asymmetric,Not Cached,0.08476471900939941,1.0
VQ,Asymmetric,Not Cached,0.10046052932739258,1.0
VQ,Symmetric,Cached,0.012000083923339844,0.0
PQ,Asymmetric,Not Cached,0.31534862518310547,0.044
PQ,Asymmetric,Cached,0.1648561954498291,0.044
PQ,Symmetric,Cached,0.18950414657592773,0.044
brute,Asymmetric,Not Cached,0.1229701042175293,1.0
VQ,Asymmetric,Not Cached,0.09971237182617188,1.0
VQ,Symmetric,Cached,0.013129711151123047,0.0
PQ,Asymmetric,Not Cached,0.4390754699707031,0.01
PQ,Asymmetric,Cached,0.25861310958862305,0.01
PQ,Symmetric,Cached,0.32424283027648926,0.01
brute,Asymmetric,Not Cached,0.10253667831420898,1.0
VQ,Asymmetric,Not Cached,0.06123065948486328,0.97
VQ,Symmetric,Cached,0.014664649963378906,0.152
PQ,Asymmetric,Not Cached,0.4038388729095459,0.1
PQ,Asymmetric,Cached,0.21463465690612793,0.1
PQ,Symmetric,Cached,0.22873330116271973,0.074
brute,Asymmetric,Not Cached,0.12623119354248047,1.0
VQ,Asymmetric,Not Cached,0.024146556854248047,0.822
VQ,Symmetric,Cached,0.018318891525268555,0.118
PQ,Asymmetric,Not Cached,0.4412357807159424,0.152
PQ,Asymmetric,Cached,0.22544145584106445,0.152
PQ,Symmetric,Cached,0.28917908668518066,0.074
brute,Asymmetric,Not Cached,0.23311185836791992,1.0
VQ,Asymmetric,Not Cached,0.06712150573730469,1.0
VQ,Symmetric,Cached,0.017198562622070312,0.076
PQ,Asymmetric,Not Cached,0.4663097858428955,0.042
PQ,Asymmetric,Cached,0.19151973724365234,0.042
PQ,Symmetric,Cached,0.1974802017211914,0.026
brute,Asymmetric,Not Cached,0.11809182167053223,1.0
VQ,Asymmetric,Not Cached,0.03536486625671387,0.97
VQ,Symmetric,Cached,0.014740228652954102,0.124
PQ,Asymmetric,Not Cached,0.37207579612731934,0.054
PQ,Asymmetric,Cached,0.18372869491577148,0.054
PQ,Symmetric,Cached,0.1877119541168213,0.028
brute,Asymmetric,Not Cached,0.10408735275268555,1.0
VQ,Asymmetric,Not Cached,0.03118300437927246,0.97
VQ,Symmetric,Cached,0.01702117919921875,0.088
PQ,Asymmetric,Not Cached,0.3394455909729004,0.026
PQ,Asymmetric,Cached,0.17153215408325195,0.026
PQ,Symmetric,Cached,0.18847393989562988,0.01
brute,Asymmetric,Not Cached,0.11615562438964844,1.0
VQ,Asymmetric,Not Cached,0.02235126495361328,0.822
VQ,Symmetric,Cached,0.017039775848388672,0.118
PQ,Asymmetric,Not Cached,0.5048260688781738,0.158
PQ,Asymmetric,Cached,0.2984926700592041,0.158
PQ,Symmetric,Cached,0.32613348960876465,0.076
brute,Asymmetric,Not Cached,0.10010147094726562,1.0
VQ,Asymmetric,Not Cached,0.02272176742553711,0.822
VQ,Symmetric,Cached,0.017583131790161133,0.15
PQ,Asymmetric,Not Cached,0.35039639472961426,0.086
PQ,Asymmetric,Cached,0.18480515480041504,0.086
PQ,Symmetric,Cached,0.18114113807678223,0.07
brute,Asymmetric,Not Cached,0.12037539482116699,1.0
VQ,Asymmetric,Not Cached,0.05144071578979492,1.0
VQ,Symmetric,Cached,0.012506723403930664,0.076
PQ,Asymmetric,Not Cached,0.3388192653656006,0.036
PQ,Asymmetric,Cached,0.1775362491607666,0.036
PQ,Symmetric,Cached,0.192124605178833,0.038
brute,Asymmetric,Not Cached,0.11564326286315918,1.0
VQ,Asymmetric,Not Cached,0.023222923278808594,0.822
VQ,Symmetric,Cached,0.01760697364807129,0.048
PQ,Asymmetric,Not Cached,0.8061580657958984,0.096
PQ,Asymmetric,Cached,0.4334297180175781,0.096
PQ,Symmetric,Cached,0.4749467372894287,0.038
brute,Asymmetric,Not Cached,0.15996861457824707,1.0
VQ,Asymmetric,Not Cached,0.06908535957336426,1.0
VQ,Symmetric,Cached,0.04144549369812012,0.088
PQ,Asymmetric,Not Cached,0.4867439270019531,0.09
PQ,Asymmetric,Cached,0.2878127098083496,0.09
PQ,Symmetric,Cached,0.31362342834472656,0.056
brute,Asymmetric,Not Cached,0.1020348072052002,1.0
VQ,Asymmetric,Not Cached,0.03174901008605957,0.97
VQ,Symmetric,Cached,0.04166555404663086,0.196
PQ,Asymmetric,Not Cached,0.29528117179870605,0.07
PQ,Asymmetric,Cached,0.1384260654449463,0.07
PQ,Symmetric,Cached,0.15247678756713867,0.068
brute,Asymmetric,Not Cached,0.12321615219116211,1.0
VQ,Asymmetric,Not Cached,0.030388355255126953,0.97
VQ,Symmetric,Cached,0.03720712661743164,0.088
PQ,Asymmetric,Not Cached,0.5220160484313965,0.072
PQ,Asymmetric,Cached,0.27563929557800293,0.072
PQ,Symmetric,Cached,0.3214092254638672,0.034
brute,Asymmetric,Not Cached,0.1176309585571289,1.0
VQ,Asymmetric,Not Cached,0.02280902862548828,0.822
VQ,Symmetric,Cached,0.020497560501098633,0.118
PQ,Asymmetric,Not Cached,0.687340259552002,0.21
PQ,Asymmetric,Cached,0.4445316791534424,0.21
PQ,Symmetric,Cached,0.47649240493774414,0.102
brute,Asymmetric,Not Cached,0.1472463607788086,1.0
VQ,Asymmetric,Not Cached,0.04642438888549805,0.97
VQ,Symmetric,Cached,0.01498866081237793,0.124
PQ,Asymmetric,Not Cached,0.7046558856964111,0.148
PQ,Asymmetric,Cached,0.4338409900665283,0.148
PQ,Symmetric,Cached,0.5229370594024658,0.06
brute,Asymmetric,Not Cached,0.10706710815429688,1.0
VQ,Asymmetric,Not Cached,0.03034520149230957,0.97
VQ,Symmetric,Cached,0.02065253257751465,0.196
PQ,Asymmetric,Not Cached,0.4413268566131592,0.148
PQ,Asymmetric,Cached,0.21192359924316406,0.148
PQ,Symmetric,Cached,0.2295370101928711,0.108
brute,Asymmetric,Not Cached,0.11484813690185547,1.0
VQ,Asymmetric,Not Cached,0.023634910583496094,0.822
VQ,Symmetric,Cached,0.016129016876220703,0.118
PQ,Asymmetric,Not Cached,0.5042679309844971,0.184
PQ,Asymmetric,Cached,0.2684495449066162,0.184
PQ,Symmetric,Cached,0.36326122283935547,0.08
brute,Asymmetric,Not Cached,0.10302519798278809,1.0
VQ,Asymmetric,Not Cached,0.11838912963867188,1.0
VQ,Symmetric,Cached,0.014117002487182617,0.0
PQ,Asymmetric,Not Cached,0.47017979621887207,0.044
PQ,Asymmetric,Cached,0.2470238208770752,0.044
PQ,Symmetric,Cached,0.3083000183105469,0.024
brute,Asymmetric,Not Cached,0.10840940475463867,1.0
VQ,Asymmetric,Not Cached,0.13353824615478516,1.0
VQ,Symmetric,Cached,0.014790058135986328,0.0
PQ,Asymmetric,Not Cached,0.6049041748046875,0.01
PQ,Asymmetric,Cached,0.26469993591308594,0.01
PQ,Symmetric,Cached,0.3146822452545166,0.008
brute,Asymmetric,Not Cached,0.11951351165771484,1.0
VQ,Asymmetric,Not Cached,0.013036251068115234,0.388
VQ,Symmetric,Cached,0.0226132869720459,0.056
PQ,Asymmetric,Not Cached,0.35511350631713867,0.022
PQ,Asymmetric,Cached,0.15275168418884277,0.022
PQ,Symmetric,Cached,0.19440793991088867,0.024
brute,Asymmetric,Not Cached,0.11481046676635742,1.0
VQ,Asymmetric,Not Cached,0.02781081199645996,0.97
VQ,Symmetric,Cached,0.013015270233154297,0.152
PQ,Asymmetric,Not Cached,0.4464244842529297,0.1
PQ,Asymmetric,Cached,0.22105908393859863,0.1
PQ,Symmetric,Cached,0.27085280418395996,0.092
brute,Asymmetric,Not Cached,0.08107852935791016,1.0
VQ,Asymmetric,Not Cached,0.10817980766296387,1.0
VQ,Symmetric,Cached,0.010341644287109375,0.0
PQ,Asymmetric,Not Cached,0.2856636047363281,0.0
PQ,Asymmetric,Cached,0.1226339340209961,0.0
PQ,Symmetric,Cached,0.16327953338623047,0.0
brute,Asymmetric,Not Cached,0.11792469024658203,1.0
VQ,Asymmetric,Not Cached,0.02284526824951172,0.822
VQ,Symmetric,Cached,0.01733565330505371,0.048
PQ,Asymmetric,Not Cached,0.3638789653778076,0.038
PQ,Asymmetric,Cached,0.1890413761138916,0.038
PQ,Symmetric,Cached,0.2033371925354004,0.03
brute,Asymmetric,Not Cached,0.09796404838562012,1.0
VQ,Asymmetric,Not Cached,0.027252674102783203,0.97
VQ,Symmetric,Cached,0.01304006576538086,0.088
PQ,Asymmetric,Not Cached,0.7809569835662842,0.024
PQ,Asymmetric,Cached,0.18314838409423828,0.024
PQ,Symmetric,Cached,0.19264006614685059,0.014
brute,Asymmetric,Not Cached,0.11594080924987793,1.0
VQ,Asymmetric,Not Cached,0.021855831146240234,0.822
VQ,Symmetric,Cached,0.016211986541748047,0.15
PQ,Asymmetric,Not Cached,1.585906744003296,0.266
PQ,Asymmetric,Cached,0.4120631217956543,0.266
PQ,Symmetric,Cached,0.4980940818786621,0.148
brute,Asymmetric,Not Cached,0.09641242027282715,1.0
VQ,Asymmetric,Not Cached,0.027928829193115234,0.97
VQ,Symmetric,Cached,0.01245570182800293,0.088
PQ,Asymmetric,Not Cached,0.4716627597808838,0.072
PQ,Asymmetric,Cached,0.25550103187561035,0.072
PQ,Symmetric,Cached,0.33689308166503906,0.038
brute,Asymmetric,Not Cached,3.57772159576416,1.0
VQ,Asymmetric,Not Cached,0.20996642112731934,0.388
VQ,Symmetric,Cached,0.050884246826171875,0.172
PQ,Asymmetric,Not Cached,0.7362761497497559,0.272
PQ,Asymmetric,Cached,0.3106694221496582,0.272
PQ,Symmetric,Cached,0.3506016731262207,0.104
brute,Asymmetric,Not Cached,0.10039925575256348,1.0
VQ,Asymmetric,Not Cached,0.010351896286010742,0.388
VQ,Symmetric,Cached,0.021940231323242188,0.074
PQ,Asymmetric,Not Cached,0.7350108623504639,0.218
PQ,Asymmetric,Cached,0.4279348850250244,0.218
PQ,Symmetric,Cached,0.48889851570129395,0.106
brute,Asymmetric,Not Cached,0.13046789169311523,1.0
VQ,Asymmetric,Not Cached,0.02218461036682129,0.822
VQ,Symmetric,Cached,0.01666569709777832,0.15
PQ,Asymmetric,Not Cached,0.4924194812774658,0.212
PQ,Asymmetric,Cached,0.29915904998779297,0.212
PQ,Symmetric,Cached,0.32954835891723633,0.108
brute,Asymmetric,Not Cached,0.10004425048828125,1.0
VQ,Asymmetric,Not Cached,0.021785736083984375,0.822
VQ,Symmetric,Cached,0.016636133193969727,0.048
PQ,Asymmetric,Not Cached,0.8497977256774902,0.088
PQ,Asymmetric,Cached,0.46543264389038086,0.088
PQ,Symmetric,Cached,0.4735100269317627,0.038
brute,Asymmetric,Not Cached,0.13541078567504883,1.0
VQ,Asymmetric,Not Cached,0.027814388275146484,0.822
VQ,Symmetric,Cached,0.020722389221191406,0.072
PQ,Asymmetric,Not Cached,0.526803731918335,0.096
PQ,Asymmetric,Cached,0.2822122573852539,0.096
PQ,Symmetric,Cached,0.3318798542022705,0.066
brute,Asymmetric,Not Cached,0.10455989837646484,1.0
VQ,Asymmetric,Not Cached,0.01126551628112793,0.388
VQ,Symmetric,Cached,0.02068018913269043,0.124
PQ,Asymmetric,Not Cached,0.7321786880493164,0.302
PQ,Asymmetric,Cached,0.4424726963043213,0.302
PQ,Symmetric,Cached,0.4945967197418213,0.134
brute,Asymmetric,Not Cached,0.11429810523986816,1.0
VQ,Asymmetric,Not Cached,0.02087545394897461,0.822
VQ,Symmetric,Cached,0.03013920783996582,0.048
PQ,Asymmetric,Not Cached,0.36722469329833984,0.038
PQ,Asymmetric,Cached,0.18722867965698242,0.038
PQ,Symmetric,Cached,0.21762681007385254,0.03
brute,Asymmetric,Not Cached,0.09955263137817383,1.0
VQ,Asymmetric,Not Cached,0.05744004249572754,0.97
VQ,Symmetric,Cached,0.014414548873901367,0.124
PQ,Asymmetric,Not Cached,0.4936637878417969,0.108
PQ,Asymmetric,Cached,0.25778746604919434,0.108
PQ,Symmetric,Cached,0.31080007553100586,0.058
brute,Asymmetric,Not Cached,0.10874390602111816,1.0
VQ,Asymmetric,Not Cached,0.05256533622741699,1.0
VQ,Symmetric,Cached,0.019988059997558594,0.094
PQ,Asymmetric,Not Cached,0.4696357250213623,0.108
PQ,Asymmetric,Cached,0.26840662956237793,0.108
PQ,Symmetric,Cached,0.3166956901550293,0.066
brute,Asymmetric,Not Cached,0.09958529472351074,1.0
VQ,Asymmetric,Not Cached,0.010892152786254883,0.388
VQ,Symmetric,Cached,0.020978689193725586,0.074
PQ,Asymmetric,Not Cached,0.37679219245910645,0.068
PQ,Asymmetric,Cached,0.1878795623779297,0.068
PQ,Symmetric,Cached,0.20252752304077148,0.024
brute,Asymmetric,Not Cached,0.12114429473876953,1.0
VQ,Asymmetric,Not Cached,0.01099395751953125,0.388
VQ,Symmetric,Cached,0.02066826820373535,0.148
PQ,Asymmetric,Not Cached,0.32285451889038086,0.12
PQ,Asymmetric,Cached,0.1598203182220459,0.12
PQ,Symmetric,Cached,0.1849222183227539,0.082
brute,Asymmetric,Not Cached,0.11768865585327148,1.0
VQ,Asymmetric,Not Cached,0.029925823211669922,0.97
VQ,Symmetric,Cached,0.014397144317626953,0.036
PQ,Asymmetric,Not Cached,0.48418259620666504,0.03
PQ,Asymmetric,Cached,0.26787710189819336,0.03
PQ,Symmetric,Cached,0.3574206829071045,0.03
brute,Asymmetric,Not Cached,0.12324357032775879,1.0
VQ,Asymmetric,Not Cached,0.10324692726135254,1.0
VQ,Symmetric,Cached,0.01194000244140625,0.0
PQ,Asymmetric,Not Cached,0.4406430721282959,0.056
PQ,Asymmetric,Cached,0.24528837203979492,0.056
PQ,Symmetric,Cached,0.3175215721130371,0.028
brute,Asymmetric,Not Cached,0.1212623119354248,1.0
VQ,Asymmetric,Not Cached,0.0235745906829834,0.822
VQ,Symmetric,Cached,0.018406391143798828,0.15
PQ,Asymmetric,Not Cached,0.7699666023254395,0.258
PQ,Asymmetric,Cached,0.41539955139160156,0.258
PQ,Symmetric,Cached,0.5213871002197266,0.13
brute,Asymmetric,Not Cached,0.09857034683227539,1.0
VQ,Asymmetric,Not Cached,0.022974491119384766,0.822
VQ,Symmetric,Cached,0.017644643783569336,0.194
PQ,Asymmetric,Not Cached,0.5170345306396484,0.288
PQ,Asymmetric,Cached,0.2577364444732666,0.288
PQ,Symmetric,Cached,0.3118469715118408,0.166
brute,Asymmetric,Not Cached,0.11893153190612793,1.0
VQ,Asymmetric,Not Cached,0.11783933639526367,1.0
VQ,Symmetric,Cached,0.011263847351074219,0.0
PQ,Asymmetric,Not Cached,0.6892094612121582,0.01
PQ,Asymmetric,Cached,0.4091987609863281,0.01
PQ,Symmetric,Cached,0.5117430686950684,0.006
brute,Asymmetric,Not Cached,0.10621857643127441,1.0
VQ,Asymmetric,Not Cached,0.012041807174682617,0.388
VQ,Symmetric,Cached,0.05388784408569336,0.124
PQ,Asymmetric,Not Cached,0.6772055625915527,0.312
PQ,Asymmetric,Cached,0.4018368721008301,0.312
PQ,Symmetric,Cached,0.4863266944885254,0.146
